transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status,product_name_master,category_master,revenue,discount_amount,net_revenue
1,642,Troy Mitchell,108,15000.0,Mixer Grinder,Home Appliances,offline,Bangalore,2025-12-06,3,UPI,0.1,40a175d94b67c5b138751e12e16c6ea52cdbc0ab22559fe806ac2eeca13b7f76,XXXXXX6968,successful,Mixer Grinder,Home Appliances,45000.0,4500.0,40500.0
2,881,Sarah Guerrero,102,70000.0,Phone,Electronics,online,Bangalore,2025-07-21,5,Card,0.35,24ebfd46331edd85d7f408a907f7a6b0f75b1204bb7ca18fa01cb69fe9629578,XXXXXX8911,successful,Phone,Electronics,350000.0,122499.99999999999,227500.0
3,505,Samantha Hull,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-07-11,2,UPI,0.05,a591c2c7e3daa665f8db77a6444c0bdd92d4891127dfdf478b5d89494fe8860a,XXXXXX1565,successful,Refrigerator,Home Appliances,130000.0,6500.0,123500.0
4,794,Gerald Cooper,106,80000.0,Sofa,FURN,offline,Chennai,2025-10-06,2,UPI,0.05,48f7c7da0f1149d18db2ff590fcd581d208473f5e9164d4e892a313d7ee3e354,XXXXXX4201,successful,Sofa,Furniture,160000.0,8000.0,152000.0
5,864,Cameron Black,108,15000.0,Mixer Grinder,home appliances,offline,Chennai,2025-12-12,1,Cash,0.05,f842de5fc6e0b75b586d413b7f3d48e6dc07751f2385c2bd38e503377b43b861,XXXXXX9477,successful,Mixer Grinder,Home Appliances,15000.0,750.0,14250.0
6,181,Maria Robinson,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,35422c1d429d29fd2762fbd57ed7705b3be3f22ec4f67a573b7f5bb5321a12fa,XXXXXX2717,successful,Laptop,Electronics,1250000.0,437500.0,812500.0
6,181,Maria Robinson,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,35422c1d429d29fd2762fbd57ed7705b3be3f22ec4f67a573b7f5bb5321a12fa,XXXXXX2717,failed,Laptop,Electronics,1250000.0,437500.0,812500.0
7,142,Charles Brown,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-03-03,2,UPI,0.05,dd8e7e1212fb3dadf7d88f50f3662b130bb9658196408112c7b3c2319d2f2159,XXXXXX6322,successful,Laptop,Electronics,500000.0,25000.0,475000.0
8,457,Cathy Harris,102,70000.0,Phone,Electronics,online,Hyderabad,2026-02-19,1,Card,0.05,50ae2f3087f040cb08fb469964bd35e3fda48e18b7f834d2fa7e982e7593b5ba,XXXXXX7576,successful,Phone,Electronics,70000.0,3500.0,66500.0
9,749,Linda Lara,110,45000.0,Microwave,home appliances,offline,Mumbai,2025-08-30,3,Card,0.3,cb4afee4597a3d0dda92f69441f05067c40c08f1f1921e5aba8e8f3f3ca25e1c,XXXXXX4201,successful,Microwave,Home Appliances,135000.0,40500.0,94500.0
10,146,Jose Thomas,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,2,UPI,0.4,abd7e3dafa4e2a5244ee3c32d8cbf9a1693aa8e69bd4931a3d3be98d6776180f,XXXXXX9963,successful,Phone,Electronics,140000.0,56000.0,84000.0
11,946,Lisa Cochran,104,8000.0,Shoes,CLOTH,offline,Delhi,2025-12-15,4,Card,0.3,de0b75129679b50c6e972d740b5d620d1096d3feed03f8ab772ec191ca6ea6e4,XXXXXX0319,successful,Shoes,Clothing,32000.0,9600.0,22400.0
12,757,Yvette Clark,106,80000.0,Sofa,FURN,online,Hyderabad,2025-06-30,3,UPI,0.25,fb83e27ab1213d4d5e5851d2d484c4c7ccf0287f07aa72434328697fb67265cc,XXXXXX6334,successful,Sofa,Furniture,240000.0,60000.0,180000.0
13,838,Susan Torres,109,65000.0,Refrigerator,home appliances,offline,Chennai,2025-06-14,5,Cash,0.35,d963ec958fe698223197322410b345061770c0599a9638fd33e321690a5f8ae6,XXXXXX6426,successful,Refrigerator,Home Appliances,325000.0,113750.0,211250.0
14,117,Brent Clark,109,65000.0,Refrigerator,home appliances,offline,Delhi,2026-02-24,5,Card,0.2,c5f829302296e1c2e9c8ce7f4a59fa56e01d59488851053529fb66a3ad5061dd,XXXXXX7598,successful,Refrigerator,Home Appliances,325000.0,65000.0,260000.0
15,923,George Wilkinson,109,65000.0,Refrigerator,home appliances,online,Mumbai,2026-01-31,5,UPI,0.25,e7f779b76a2b0d1be8c1ec2ccd3f8685316ed57130009eacec74f64ce3ef4362,XXXXXX9222,successful,Refrigerator,Home Appliances,325000.0,81250.0,243750.0
